timestamp,ch1
1717510071.0,-23280.548844402892
1717510071.004,-23314.143516319218
1717510071.008,-23343.58076376686
1717510071.012,-23365.597232055337
1717510071.016,-23383.50097936404
1717510071.02,-23407.35029069785
1717510071.024,-23425.723424640113
1717510071.028,-23437.033407334497
1717510071.032,-23454.199547076172
1717510071.036,-23467.185910604705
1717510071.04,-23480.88752995581
1717510071.044,-23496.332585374428
1717510071.048,-23508.08960295792
1717510071.052,-23514.057518727484
1717510071.056,-23517.186762951227
1717510071.06,-23527.066234000475
1717510071.064,-23532.497707903112
1717510071.068,-23540.74550160712
1717510071.072,-23551.00495231211
1717510071.076,-23562.04671407303
1717510071.08,-23571.792074655543
1717510071.0839999,-23582.140932338352
1717510071.0879998,-23590.165208597806
1717510071.092,-23599.642348246856
1717510071.096,-23602.905702937333
1717510071.1,-23607.48781055067
1717510071.1039999,-23619.44599383426
1717510071.108,-23627.716139282722
1717510071.112,-23625.57037181501
1717510071.116,-23633.01350271863
1717510071.12,-23634.175793430306
1717510071.1239998,-23643.407063890347
1717510071.128,-23652.861851794944
1717510071.132,-23656.035799507597
1717510071.136,-23664.082427511505
1717510071.1399999,-23669.469197925235
1717510071.1439998,-23673.29134622709
1717510071.148,-23679.371020718936
1717510071.152,-23686.50122720018
1717510071.156,-23693.810247637066
1717510071.1599998,-23699.621701195443
1717510071.1639998,-23702.88505588592
1717510071.1679997,-23708.40593676638
1717510071.172,-23716.117288603462
1717510071.1759999,-23721.191134594817
1717510071.1799998,-23723.716881718265
1717510071.1839998,-23724.7003584743
1717510071.188,-23727.896657931407
1717510071.192,-23733.46224230078
1717510071.1959999,-23741.5535737936
1717510071.1999998,-23737.910239447385
1717510071.2039998,-23744.23578312824
1717510071.208,-23754.629344299956
1717510071.212,-23761.334867636546
1717510071.2159998,-23768.46507411779
1717510071.2199998,-23774.120065464984
1717510071.2239997,-23781.518492879688
1717510071.228,-23781.965527768796
1717510071.2319999,-23782.725487080275
1717510071.2359998,-23777.249309688726
1717510071.2399998,-23778.255138189215
1717510071.2439997,-23783.731315580764
1717510071.2479997,-23787.62051911599
1717510071.2519999,-23799.2657779772
1717510071.2559998,-23803.37849895698
1717510071.2599998,-23807.29005423666
1717510071.2639997,-23805.166638513405
1717510071.268,-23812.65447290593
1717510071.2719998,-23820.47758346529
1717510071.2759998,-23821.081080565582
1717510071.2799997,-23824.09856606705
1717510071.2839997,-23825.417318989912
1717510071.2879999,-23833.843926649562
1717510071.2919998,-23841.644685464467
1717510071.2959998,-23840.549449986156
1717510071.2999997,-23837.420205762413
1717510071.3039997,-23836.995522617763
1717510071.3079998,-23845.556240744143
1717510071.3119998,-23854.80986294864
1717510071.3159997,-23853.71462747033
1717510071.3199997,-23854.362828059537
