timestamp,ch1
1717491710.0,-12833.052913314452
1717491710.004,-12839.624326184312
1717491710.008,-12832.985858081087
1717491710.012,-12842.999439597064
1717491710.016,-12841.6806866742
1717491710.02,-12843.73704716409
1717491710.024,-12848.140340821785
1717491710.028,-12844.564061708936
1717491710.032,-12842.39594249677
1717491710.036,-12852.230710057105
1717491710.04,-12861.93136715071
1717491710.044,-12871.386155055305
1717491710.048,-12877.085849891408
1717491710.052,-12876.974091169131
1717491710.056,-12880.30450109297
1717491710.06,-12888.887570963809
1717491710.064,-12903.595018815402
1717491710.068,-12906.32193163895
1717491710.072,-12921.275248679549
1717491710.076,-12926.214984204173
1717491710.08,-12916.760196299578
1717491710.0839999,-12916.156699199284
1717491710.0879998,-12917.050768977497
1717491710.092,-12908.668864806756
1717491710.096,-12921.65522833529
1717491710.1,-12933.456949407691
1717491710.1039999,-12938.195519232217
1717491710.108,-12952.210063005694
1717491710.112,-12954.333478728948
1717491710.116,-12953.864092095388
1717491710.12,-12968.549188202524
1717491710.1239998,-12975.344118516938
1717491710.128,-12977.288720284549
1717491710.132,-12974.807676650009
1717491710.136,-12985.983548877663
1717491710.1399999,-12992.040871625051
1717491710.1439998,-12987.168191333794
1717491710.148,-13002.032101396573
1717491710.152,-13011.799813723543
1717491710.156,-13025.479081330192
1717491710.1599998,-13024.540308063068
1717491710.1639998,-13029.368284865413
1717491710.1679997,-13035.269145401615
1717491710.172,-13044.276898417103
1717491710.1759999,-13053.999907255162
1717491710.1799998,-13049.641317086378
1717491710.1839998,-13048.859006030441
1717491710.188,-13053.48581713269
1717491710.192,-13053.083485732495
1717491710.1959999,-13062.046535259073
1717491710.1999998,-13062.650032359366
1717491710.2039998,-13078.765640111642
1717491710.208,-13073.691794120288
1717491710.212,-13074.563512154045
1717491710.2159998,-13095.797669386588
1717491710.2199998,-13098.524582210135
1717491710.2239997,-13091.506134451169
1717491710.228,-13102.458489234268
1717491710.2319999,-13111.801518416587
1717491710.2359998,-13115.467204507257
1717491710.2399998,-13111.6450562054
1717491710.2439997,-13124.206736589282
1717491710.2479997,-13134.935573927829
1717491710.2519999,-13146.826701978052
1717491710.2559998,-13153.219300892271
1717491710.2599998,-13164.08224869755
1717491710.2639997,-13170.743068545231
1717491710.268,-13167.837341766042
1717491710.2719998,-13167.949100488318
1717491710.2759998,-13187.059841997605
1717491710.2799997,-13190.144382732438
1717491710.2839997,-13199.956798548317
1717491710.2879999,-13194.90530430142
1717491710.2919998,-13186.27753094167
1717491710.2959998,-13197.095775258038
1717491710.2999997,-13198.19101073635
1717491710.3039997,-13204.76242360621
1717491710.3079998,-13213.90428708843
1717491710.3119998,-13218.218173768304
1717491710.3159997,-13222.822633126098
1717491710.3199997,-13226.264801772215
1717491710.3239996,-13235.09374083206
1717491710.3279996,-13249.398857283457
1717491710.3319998,-13256.685525975887
1717491710.3359997,-13253.5786334966
1717491710.3399997,-13256.439656786879
1717491710.3439996,-13268.91193019294
1717491710.3479998,-13271.504732549756
1717491710.3519998,-13285.072241434127
1717491710.3559997,-13284.960482711851
1717491710.3599997,-13281.361851854546
1717491710.3639996,-13281.808886743653
1717491710.3679998,-13292.873000249028
1717491710.3719997,-13289.587293814098
1717491710.3759997,-13277.71851750833
1717491710.3799996,-13292.716538037843
1717491710.3839996,-13296.292817150692
1717491710.3879998,-13305.524087610733
1717491710.3919997,-13311.670817335942
1717491710.3959997,-13313.771881314742
1717491710.3999996,-13314.330674926125
1717491710.4039996,-13321.751454085286
1717491710.4079995,-13327.607611132576
1717491710.4119997,-13329.440454177911
1717491710.4159997,-13325.64065762051
1717491710.4199996,-13338.202338004392
1717491710.4239995,-13348.685306153931
1717491710.4279997,-13348.327678242646
1717491710.4319997,-13350.048762565704
1717491710.4359996,-13351.680439910942
1717491710.4399996,-13364.309175528191
1717491710.4439995,-13372.847541910118
1717491710.4479997,-13377.02731812326
1717491710.4519997,-13374.41216402199
1717491710.4559996,-13373.36163203259
1717491710.4599996,-13376.401469278511
1717491710.4639995,-13392.628835753065
1717491710.4679997,-13386.347995561124
1717491710.4719996,-13390.438364796444
1717491710.4759996,-13399.267303856292
1717491710.4799995,-13409.70556851692
1717491710.4839995,-13420.344998877645
1717491710.4879994,-13406.553972548722
1717491710.4919996,-13410.018492939293
1717491710.4959996,-13418.690969787953
1717491710.4999995,-13413.03597844076
1717491710.5039995,-13421.909620989516
1717491710.5079997,-13421.4178826115
1717491710.5119996,-13426.290562902757
1717491710.5159996,-13431.587926338665
1717491710.5199995,-13438.315801419712
1717491710.5239995,-13438.964002008915
1717491710.5279996,-13444.507234633833
1717491710.5319996,-13452.978545782393
1717491710.5359995,-13457.13597025108
1717491710.5399995,-13462.276871475802
1717491710.5439994,-13465.204949999446
1717491710.5479996,-13478.638348417086
1717491710.5519996,-13481.81229612974
1717491710.5559995,-13476.984319327394
1717491710.5599995,-13488.897799122073
1717491710.5639994,-13485.790906642784
1717491710.5679994,-13483.801601386262
1717491710.5719995,-13486.506162465354
1717491710.5759995,-13496.229171303412
1717491710.5799994,-13500.163078327547
1717491710.5839994,-13503.828764418216
1717491710.5879996,-13505.996883630381
1717491710.5919995,-13506.980360386415
1717491710.5959995,-13511.607171488664
1717491710.5999994,-13519.273819836835
1717491710.6039994,-13526.918116440549
1717491710.6079996,-13530.762616486862
1717491710.6119995,-13529.846194964195
1717491710.6159995,-13531.67903800953
1717491710.6199994,-13529.510918797365
1717491710.6239994,-13531.656686265074
1717491710.6279995,-13539.882128224628
1717491710.6319995,-13544.330125371234
1717491710.6359994,-13543.905442226584
1717491710.6399996,-13546.542948072309
1717491710.6439996,-13556.86945401066
1717491710.6479995,-13570.995756506414
1717491710.6519997,-13576.06960249777
1717491710.6559997,-13571.286329184333
1717491710.6599996,-13568.425305894054
1717491710.6639996,-13575.3543466752
1717491710.6679997,-13576.807210064795
1717491710.6719997,-13572.627433851652
1717491710.6759996,-13580.137619988636
1717491710.6799996,-13586.35140494721
1717491710.6839995,-13586.239646224934
1717491710.6879997,-13577.857742054195
1717491710.6919997,-13586.060832269291
1717491710.6959996,-13605.97623657897
1717491710.6999996,-13596.096765529725
1717491710.7039995,-13598.041367297337
1717491710.7079997,-13596.879076585661
1717491710.7119997,-13597.057890541302
1717491710.7159996,-13610.021902325381
1717491710.7199993,-13623.209431554013
1717491710.7239993,-13626.897469389138
1717491710.7279992,-13626.271620544388
1717491710.7319994,-13632.641867714152
1717491710.7359993,-13624.79640541034
1717491710.7399993,-13626.986876366958
1717491710.7439992,-13629.55732697932
1717491710.7479994,-13641.761379451917
1717491710.7519994,-13640.643792229152
1717491710.7559993,-13636.754588693928
1717491710.7599993,-13653.18312086858
1717491710.7639992,-13649.293917333356
1717491710.7679994,-13644.868271931206
1717491710.7719994,-13647.908109177126
1717491710.7759993,-13653.026658657393
1717491710.7799993,-13649.919766178104
1717491710.7839992,-13646.298783576345
1717491710.7879994,-13652.020830156904
1717491710.7919993,-13662.928481451092
1717491710.7959993,-13668.672879776106
1717491710.7999992,-13681.681595049096
1717491710.8039992,-13676.764211268928
1717491710.8079991,-13661.810894228327
1717491710.8119993,-13676.18306591309
1717491710.8159993,-13694.198571944067
1717491710.8199992,-13686.397813129166
1717491710.8239992,-13686.733089295994
1717491710.8279994,-13690.734051553494
1717491710.8319993,-13694.310330666343
1717491710.8359993,-13692.477487621009
1717491710.8399992,-13697.260760934445
1717491710.8439991,-13711.364711685743
1717491710.8479993,-13722.09354902429
1717491710.8519993,-13741.181938789123
1717491710.8559992,-13738.3432672433
1717491710.8599992,-13738.700895154583
1717491710.8639991,-13738.119749798745
1717491710.8679993,-13735.750464886483
1717491710.8719993,-13734.610525919263
1717491710.8759992,-13724.105206025268
1717491710.8799992,-13730.542508428396
1717491710.883999,-13730.09547353929
1717491710.887999,-13734.85639510827
1717491710.8919992,-13730.363694472755
1717491710.8959992,-13734.38700847471
1717491710.8999991,-13740.131406799723
1717491710.903999,-13739.349095743788
1717491710.9079993,-13749.094456326302
1717491710.9119992,-13744.221776035045
1717491710.9159992,-13748.423903992641
1717491710.9199991,-13743.595927190296
1717491710.923999,-13745.920508613648
1717491710.9279993,-13756.805808163383
1717491710.9319992,-13764.852436167293
1717491710.9359992,-13765.120657100757
1717491710.939999,-13770.19450309211
1717491710.943999,-13779.336366574333
1717491710.9479992,-13780.051622396903
1717491710.9519992,-13785.1031166438
1717491710.9559991,-13779.336366574333
1717491710.959999,-13782.957349176091
1717491710.963999,-13786.287759099932
1717491710.967999,-13778.151724118201
1717491710.9719992,-13787.91943644517
1717491710.975999,-13792.523895802964
1717491710.979999,-13802.962160463592
1717491710.983999,-13795.519029559975
1717491710.9879992,-13799.095308672824
1717491710.9919991,-13801.330483118354
1717491710.995999,-13799.2070673951
1717491710.999999,-13804.01269245299
1717491711.003999,-13806.91841923218
1717491711.0079992,-13797.06129992739
1717491711.0119991,-13798.290645872432
1717491711.015999,-13805.912590731692
1717491711.019999,-13809.891201244736
1717491711.023999,-13822.408178139709
1717491711.0279992,-13829.717198576594
1717491711.031999,-13827.97376250908
1717491711.035999,-13818.094291459834
1717491711.039999,-13824.35277990732
1717491711.043999,-13833.382884667264
1717491711.047999,-13837.920288791693
1717491711.051999,-13850.79489359795
1717491711.055999,-13843.128245249778
1717491711.059999,-13850.817245342405
1717491711.063999,-13861.16610302521
