timestamp,ch1
1717509706.0,-23161.838729600757
1717509706.004,-23255.939573757598
1717509706.008,-23302.23003652454
1717509706.012,-23339.199821853617
1717509706.016,-23362.46798783159
1717509706.02,-23388.15014221074
1717509706.024,-23404.86924706331
1717509706.028,-23420.090785037373
1717509706.032,-23442.330770770404
1717509706.036,-23460.92742215722
1717509706.04,-23474.9419659307
1717509706.044,-23488.88945447081
1717509706.048,-23503.820419766955
1717509706.052,-23519.868972285865
1717509706.056,-23532.877687558856
1717509706.06,-23549.686199389245
1717509706.064,-23574.720153179187
1717509706.068,-23574.63074620137
1717509706.072,-23576.731810180165
1717509706.076,-23583.794961428044
1717509706.08,-23586.253653318126
1717509706.0839999,-23595.37316505589
1717509706.0879998,-23602.86099944842
1717509706.092,-23608.895970451355
1717509706.096,-23618.931903711786
1717509706.1,-23629.213706161227
1717509706.1039999,-23633.01350271863
1717509706.108,-23638.936714999287
1717509706.112,-23642.133014456394
1717509706.116,-23649.285572682093
1717509706.12,-23663.4342269223
1717509706.1239998,-23662.271936210625
1717509706.128,-23666.71993335723
1717509706.132,-23674.565395661044
1717509706.136,-23684.869549854942
1717509706.1399999,-23687.30589000057
1717509706.1439998,-23691.753887147177
1717509706.148,-23693.49732321469
1717509706.152,-23697.900616872386
1717509706.156,-23708.4953437442
1717509706.1599998,-23717.056061870582
1717509706.1639998,-23722.621646239957
1717509706.1679997,-23724.990931152217
1717509706.172,-23732.098785889004
1717509706.1759999,-23735.272733601658
1717509706.1799998,-23736.300913846604
1717509706.1839998,-23737.239687113728
1717509706.188,-23742.8052714831
1717509706.192,-23755.411655355892
1717509706.1959999,-23763.726504293267
1717509706.1999998,-23766.18519618335
1717509706.2039998,-23768.42037062888
1717509706.208,-23768.04039097314
1717509706.212,-23771.32609740807
1717509706.2159998,-23776.22112944378
1717509706.2199998,-23790.526245895177
1717509706.2239997,-23789.699231350332
1717509706.228,-23784.245405703237
1717509706.2319999,-23782.546673124634
1717509706.2359998,-23790.347431939535
1717509706.2399998,-23800.785696600164
1717509706.2439997,-23811.961568827817
1717509706.2479997,-23810.776926371687
1717509706.2519999,-23812.833286861576
1717509706.2559998,-23823.539772455668
1717509706.2599998,-23830.33470277008
1717509706.2639997,-23830.75938591473
1717509706.268,-23827.160755057426
1717509706.2719998,-23834.04509234966
1717509706.2759998,-23839.901249396953
1717509706.2799997,-23842.71756919832
1717509706.2839997,-23848.61842973452
1717509706.2879999,-23853.91579317043
1717509706.2919998,-23847.500842511756
1717509706.2959998,-23848.841947179073
1717509706.2999997,-23855.256897837746
1717509706.3039997,-23862.20829036335
1717509706.3079998,-23863.974078175317
1717509706.3119998,-23865.91867994293
1717509706.3159997,-23875.641688780986
1717509706.3199997,-23876.558110303657
1717509706.3239996,-23878.368601604536
1717509706.3279996,-23875.462874825345
1717509706.3319998,-23873.227700379815
1717509706.3359997,-23875.127598658517
1717509706.3399997,-23876.82633123712
1717509706.3439996,-23881.140217916993
1717509706.3479998,-23884.470627840834
1717509706.3519998,-23889.432715109913
1717509706.3559997,-23892.919587244938
1717509706.3599997,-23895.557093090665
1717509706.3639996,-23894.595968079087
1717509706.3679998,-23899.78157279272
1717509706.3719997,-23901.748526304786
1717509706.3759997,-23898.462819869856
1717509706.3799996,-23899.334537903615
1717509706.3839996,-23904.16251470596
1717509706.3879998,-23909.3928229085
1717509706.3919997,-23918.78055557973
1717509706.3959997,-23925.97781729434
1717509706.3999996,-23929.44233768491
1717509706.4039996,-23928.235343484324
1717509706.4079995,-23925.30726496068
1717509706.4119997,-23927.028349283737
1717509706.4159997,-23929.956427807385
1717509706.4199996,-23931.25282898579
1717509706.4239995,-23935.946695321407
1717509706.4279997,-23934.78440460973
1717509706.4319997,-23939.07593954515
1717509706.4359996,-23945.46853845937
1717509706.4399996,-23951.995247840317
1717509706.4439995,-23953.89514611902
1717509706.4479997,-23945.088558803625
1717509706.4519997,-23942.205183768892
1717509706.4559996,-23951.302343762203
1717509706.4599996,-23962.858195645596
1717509706.4639995,-23958.79017815473
1717509706.4679997,-23954.789215897228
1717509706.4719996,-23961.561794467187
1717509706.4759996,-23959.237213043834
1717509706.4799995,-23964.17694856846
1717509706.4839995,-23972.447094016923
1717509706.4879994,-23973.765846939787
1717509706.4919996,-23976.22453882987
1717509706.4959996,-23981.99128889934
1717509706.4999995,-23984.539387767243
1717509706.5039995,-23982.952413910916
1717509706.5079997,-23984.94171916744
1717509706.5119996,-23987.690983735443
1717509706.5159996,-23989.970861669884
1717509706.5199995,-23991.781352970764
1717509706.5239995,-23991.13315238156
1717509706.5279996,-23987.13219012406
1717509706.5319996,-23989.926158180973
1717509706.5359995,-23996.02818441727
1717509706.5399995,-23999.827980974675
1717509706.5439994,-23997.928082695973
1717509706.5479996,-24001.906693209017
1717509706.5519996,-24001.37025134209
1717509706.5559995,-24003.85129497663
1717509706.5599995,-24012.65788229202
1717509706.5639994,-24009.75215551283
1717509706.5679994,-24018.826963761683
1717509706.5719995,-24018.715205039407
1717509706.5759995,-24016.5694375717
1717509706.5799994,-24022.13502194107
1717509706.5839994,-24026.962998743416
1717509706.5879996,-24024.3701963866
1717509706.5919995,-24019.296350395245
1717509706.5959995,-24024.392548131054
1717509706.5999994,-24026.80653653223
1717509706.6039994,-24029.488745866867
1717509706.6079996,-24035.210792447426
1717509706.6119995,-24034.85316453614
1717509706.6159995,-24035.747234314353
1717509706.6199994,-24040.99989426135
1717509706.6239994,-24043.391530918067
1717509706.6279995,-24036.75306281484
1717509706.6319995,-24038.742368071362
1717509706.6359994,-24039.547030871756
1717509706.6399996,-24042.340998928667
1717509706.6439996,-24050.05235076575
1717509706.6479995,-24046.85605130864
1717509706.6519997,-24047.705417597943
1717509706.6559997,-24049.515908898822
1717509706.6599996,-24053.80744383424
1717509706.6639996,-24055.14854850156
1717509706.6679997,-24055.528528157298
1717509706.6719997,-24057.562536902733
1717509706.6759996,-24062.077589282704
1717509706.6799996,-24063.776321861307
1717509706.6839995,-24063.686914883485
1717509706.6879997,-24065.877385840107
1717509706.6919997,-24060.848243337663
1717509706.6959996,-24058.52366191431
1717509706.6999996,-24070.258327753345
1717509706.7039995,-24071.130045787104
1717509706.7079997,-24072.91818534353
1717509706.7119997,-24073.85695861065
1717509706.7159996,-24074.415752222034
1717509706.7199993,-24079.109618557646
1717509706.7239993,-24081.233034280904
1717509706.7279992,-24090.039621596294
1717509706.7319994,-24098.600339722674
1717509706.7359993,-24102.2883775578
1717509706.7399993,-24103.025985124827
1717509706.7439992,-24096.43222051051
1717509706.7479994,-24091.693650685986
1717509706.7519994,-24089.39142100709
1717509706.7559993,-24098.063897855747
1717509706.7599993,-24104.322386303233
1717509706.7639992,-24095.828723410217
1717509706.7679994,-24089.011441351347
1717509706.7719994,-24086.82097039473
1717509706.7759993,-24094.465266998443
1717509706.7799993,-24098.33211878921
1717509706.7839992,-24103.24950256938
1717509706.7879994,-24097.95213913347
1717509706.7919993,-24099.96379613445
1717509706.7959993,-24106.33404330421
1717509706.7999992,-24113.799525952283
1717509706.8039992,-24117.956950420972
1717509706.8079991,-24114.38067130812
1717509706.8119993,-24107.3398718047
